"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HDFC","EQ","19-Jan-2021","       2566.50","       2585.00","       2680.80","       2575.00","       2651.05","       2656.95","       2630.40","    3569359","          9388838394.95","     137748"
"HDFC","W3","19-Jan-2021","        714.50","        749.00","        785.95","        736.00","        768.90","        773.40","        769.07","      39600","            30455310.00","         61"
"HDFC","EQ","20-Jan-2021","       2656.95","       2666.00","       2711.90","       2622.60","       2673.00","       2688.15","       2665.86","    5771114","         15384974615.90","     186407"
"HDFC","W3","20-Jan-2021","        773.40","        753.35","        788.00","        750.00","        760.00","        773.00","        764.96","      63000","            48192390.00","        103"
"HDFC","EQ","21-Jan-2021","       2688.15","       2687.95","       2698.00","       2641.25","       2671.00","       2663.00","       2669.14","    3200138","          8541606460.90","     144444"
"HDFC","W3","21-Jan-2021","        773.00","        781.75","        795.00","        755.10","        770.00","        764.70","        772.37","      39600","            30586020.00","         49"
"HDFC","EQ","22-Jan-2021","       2663.00","       2669.00","       2678.75","       2583.05","       2589.95","       2589.45","       2623.61","    5013872","         13154429478.75","     182520"
"HDFC","W3","22-Jan-2021","        764.70","        740.00","        767.45","        717.10","        725.45","        721.50","        728.87","      40200","            29300490.00","         67"
"HDFC","EQ","25-Jan-2021","       2589.45","       2630.45","       2670.00","       2543.00","       2560.00","       2551.40","       2611.45","    7761405","         20268543190.55","     242397"
"HDFC","W3","25-Jan-2021","        721.50","        780.00","        784.55","        676.00","        698.00","        690.65","        719.79","      43200","            31094970.00","         72"
"HDFC","EQ","27-Jan-2021","       2551.40","       2546.30","       2546.30","       2458.25","       2470.00","       2467.00","       2494.96","    4858346","         12121360027.75","     224331"
"HDFC","W3","27-Jan-2021","        690.65","        661.10","        680.00","        645.00","        670.95","        668.00","        658.01","      94200","            61984470.00","        157"
"HDFC","EQ","28-Jan-2021","       2467.00","       2430.10","       2454.00","       2395.25","       2431.50","       2425.75","       2424.38","    5282970","         12807903788.30","     206977"
"HDFC","W3","28-Jan-2021","        668.00","        622.25","        674.00","        622.25","        658.50","        660.90","        657.46","      70800","            46548210.00","        114"
"HDFC","EQ","29-Jan-2021","       2425.75","       2450.00","       2460.00","       2364.60","       2378.00","       2377.80","       2413.14","    7347695","         17731030595.80","     217055"
"HDFC","W3","29-Jan-2021","        660.90","        675.00","        690.00","        658.50","        662.00","        664.80","        670.72","      31200","            20926590.00","         51"
"HDFC","EQ","01-Feb-2021","       2377.80","       2402.70","       2602.10","       2391.85","       2580.00","       2579.25","       2497.40","    7106502","         17747779822.35","     313341"
"HDFC","W3","01-Feb-2021","        664.80","        686.00","        731.25","        675.30","        731.25","        731.25","        718.20","     113400","            81444360.00","        180"
"HDFC","EQ","02-Feb-2021","       2579.25","       2625.00","       2762.95","       2612.00","       2658.70","       2659.00","       2702.44","    9253486","         25006997372.30","     341033"
"HDFC","W3","02-Feb-2021","        731.25","        780.00","        804.35","        750.00","        763.85","        762.00","        797.51","     163800","           130631850.00","        243"
"HDFC","EQ","03-Feb-2021","       2659.00","       2695.00","       2734.50","       2618.00","       2702.95","       2703.55","       2687.61","    4782433","         12853319780.40","     200284"
"HDFC","W3","03-Feb-2021","        762.00","        755.05","        825.00","        748.00","        802.00","        803.15","        798.50","     141600","           113067660.00","        112"
"HDFC","EQ","04-Feb-2021","       2703.55","       2740.40","       2742.00","       2659.00","       2707.00","       2707.75","       2696.80","    4108174","         11078934149.00","     166227"
"HDFC","W3","04-Feb-2021","        803.15","        799.90","        815.00","        777.00","        809.00","        809.00","        805.63","      47400","            38186880.00","         68"
"HDFC","EQ","05-Feb-2021","       2707.75","       2724.50","       2767.80","       2696.20","       2721.00","       2721.50","       2730.71","    4575345","         12493933543.90","     185133"
"HDFC","W3","05-Feb-2021","        809.00","        863.80","        864.80","        828.00","        864.00","        858.90","        845.72","      82200","            69517830.00","        120"
"HDFC","EQ","08-Feb-2021","       2721.50","       2765.00","       2765.00","       2711.10","       2735.10","       2733.35","       2734.19","    3807824","         10411332364.45","     164151"
"HDFC","W3","08-Feb-2021","        858.90","        866.00","        895.00","        861.00","        870.00","        876.50","        880.47","      61800","            54412830.00","         93"
"HDFC","EQ","09-Feb-2021","       2733.35","       2760.00","       2784.00","       2710.45","       2745.00","       2747.05","       2746.69","    5586584","         15344641030.00","     156091"
"HDFC","W3","09-Feb-2021","        876.50","        885.00","        909.90","        870.00","        880.00","        881.20","        894.45","     114600","           102504060.00","        170"
"HDFC","EQ","10-Feb-2021","       2747.05","       2745.95","       2780.00","       2739.20","       2777.20","       2767.10","       2764.20","    5602915","         15487593018.10","     166441"
"HDFC","W3","10-Feb-2021","        881.20","        867.65","        900.00","        867.65","        880.00","        879.85","        881.13","      73800","            65027160.00","        115"
"HDFC","EQ","11-Feb-2021","       2767.10","       2744.10","       2767.60","       2737.45","       2753.40","       2760.60","       2752.05","    1935639","          5326968203.75","     111377"
"HDFC","W3","11-Feb-2021","        879.85","        865.00","        880.00","        865.00","        880.00","        880.00","        870.48","      34800","            30292560.00","         57"
"HDFC","EQ","12-Feb-2021","       2760.60","       2746.00","       2809.00","       2735.60","       2789.00","       2791.50","       2781.64","    2921180","          8125663979.05","     116778"
"HDFC","W3","12-Feb-2021","        880.00","        875.10","        915.00","        870.00","        885.15","        894.75","        901.70","      28200","            25427880.00","         47"
"HDFC","EQ","15-Feb-2021","       2791.50","       2819.00","       2868.00","       2805.00","       2861.55","       2860.45","       2847.59","    2847445","          8108348529.35","     119073"
"HDFC","W3","15-Feb-2021","        894.75","        935.00","        948.90","        923.20","        933.00","        931.05","        932.63","      97200","            90651510.00","        148"
"HDFC","EQ","16-Feb-2021","       2860.45","       2871.00","       2896.00","       2838.00","       2853.85","       2858.65","       2867.92","    2295100","          6582170859.35","     103353"
"HDFC","W3","16-Feb-2021","        931.05","        964.95","        965.00","        920.00","        930.00","        930.00","        942.22","      57000","            53706720.00","         80"
"HDFC","EQ","17-Feb-2021","       2858.65","       2850.25","       2856.60","       2787.85","       2797.55","       2805.35","       2814.04","    2874649","          8089368102.10","     105039"
"HDFC","W3","17-Feb-2021","        930.00","        900.00","        920.00","        885.00","        885.00","        893.10","        901.12","      67200","            60554970.00","         89"
"HDFC","EQ","18-Feb-2021","       2805.35","       2800.00","       2806.00","       2730.10","       2750.00","       2745.15","       2758.03","    2937262","          8101051921.70","     131354"
"HDFC","W3","18-Feb-2021","        893.10","        873.00","        875.10","        836.90","        845.00","        845.20","        849.04","      36000","            30565440.00","         45"
"HDFC","EQ","19-Feb-2021","       2745.15","       2725.00","       2765.00","       2714.15","       2740.00","       2741.30","       2740.19","    2275146","          6234329818.75","     118178"
"HDFC","W3","19-Feb-2021","        845.20","        829.50","        874.00","        816.00","        840.30","        841.20","        843.59","      33000","            27838410.00","         55"
"HDFC","EQ","22-Feb-2021","       2741.30","       2741.30","       2741.30","       2638.15","       2655.00","       2651.95","       2674.85","    4090709","         10942024843.70","     155641"
"HDFC","W3","22-Feb-2021","        841.20","        824.00","        829.00","        800.10","        826.00","        823.15","        812.42","      99000","            80430000.00","        155"
"HDFC","EQ","23-Feb-2021","       2651.95","       2670.35","       2677.90","       2621.00","       2629.00","       2628.60","       2640.44","    3022925","          7981842804.80","     134497"
"HDFC","W3","23-Feb-2021","        823.15","        825.00","        838.00","        810.00","        825.00","        826.20","        824.44","      43800","            36110580.00","         73"
"HDFC","EQ","24-Feb-2021","       2628.60","       2610.10","       2723.00","       2610.10","       2709.00","       2707.75","       2655.41","    2950645","          7835183617.40","     102500"
"HDFC","W3","24-Feb-2021","        826.20","        838.90","        883.00","        833.50","        875.00","        876.00","        858.42","      12000","            10301040.00","         20"
"HDFC","EQ","25-Feb-2021","       2707.75","       2718.50","       2739.00","       2677.00","       2687.00","       2684.70","       2702.59","    4758112","         12859239613.30","     144627"
"HDFC","W3","25-Feb-2021","        876.00","        875.00","        878.00","        865.00","        865.00","        865.90","        872.50","      12000","            10469970.00","         14"
"HDFC","EQ","26-Feb-2021","       2684.70","       2631.05","       2631.05","       2520.00","       2539.90","       2539.40","       2561.29","    8771431","         22466145911.70","     288790"
"HDFC","W3","26-Feb-2021","        865.90","        825.00","        837.00","        800.00","        806.55","        806.20","        812.24","     103800","            84310590.00","        168"
"HDFC","EQ","01-Mar-2021","       2539.40","       2556.00","       2614.60","       2548.60","       2610.00","       2606.00","       2588.58","    3595993","          9308531410.95","     134145"
"HDFC","W3","01-Mar-2021","        806.20","        844.00","        848.00","        826.00","        840.00","        840.00","        839.55","      10800","             9067140.00","         18"
"HDFC","EQ","02-Mar-2021","       2606.00","       2615.00","       2615.00","       2541.40","       2575.00","       2564.00","       2567.14","    4086134","         10489679518.45","     162290"
